 Sample   Time     Encoder 1 Pos   Encoder 2 Pos   Control Effort
   350    3.099              -1            -309          0.0000;
   351    3.108              -1            -343          0.0000;
   352    3.117              -3            -360          0.0000;
   353    3.126              -6            -360          0.0000;
   354    3.134             -10            -343          0.0000;
   355    3.143             -12            -309          0.0000;
   356    3.152             -14            -261          0.0000;
   357    3.161             -13            -202          0.0000;
   358    3.170             -11            -134          0.0000;
   359    3.179              -7             -60          0.0000;
   360    3.188              -7              15          0.0000;
   361    3.196              -7              89          0.0000;
   362    3.205              -7             158          0.0000;
   363    3.214              -6             218          0.0000;
   364    3.223              -6             267          0.0000;
   365    3.232              -6             303          0.0000;
   366    3.241              -6             323          0.0000;
   367    3.249              -6             327          0.0000;
   368    3.258              -6             315          0.0000;
   369    3.267              -6             287          0.0000;
   370    3.276              -6             245          0.0000;
   371    3.285              -6             192          0.0000;
   372    3.294              -6             130          0.0000;
   373    3.303              -6              61          0.0000;
   374    3.311              -6             -10          0.0000;
   375    3.320              -6             -80          0.0000;
   376    3.329              -6            -146          0.0000;
   377    3.338              -7            -205          0.0000;
   378    3.347              -7            -254          0.0000;
   379    3.356              -7            -290          0.0000;
   380    3.365              -7            -313          0.0000;
   381    3.373              -7            -320          0.0000;
   382    3.382              -7            -311          0.0000;
   383    3.391              -7            -288          0.0000;
   384    3.400              -7            -251          0.0000;
   385    3.409              -7            -202          0.0000;
   386    3.418              -6            -145          0.0000;
   387    3.427              -6             -81          0.0000;
   388    3.435              -6             -14          0.0000;
   389    3.444              -6              53          0.0000;
   390    3.453              -6             117          0.0000;
   391    3.462              -6             174          0.0000;
   392    3.471              -6             222          0.0000;
   393    3.480              -5             259          0.0000;
   394    3.489              -5             283          0.0000;
   395    3.497              -5             292          0.0000;
   396    3.506              -5             287          0.0000;
   397    3.515              -5             267          0.0000;
   398    3.524              -5             235          0.0000;
   399    3.533              -5             191          0.0000;
   400    3.542              -5             138          0.0000;
   401    3.551              -5              79          0.0000;
   402    3.559              -5              16          0.0000;
   403    3.568              -5             -48          0.0000;
   404    3.577              -5            -109          0.0000;
   405    3.586              -5            -164          0.0000;
   406    3.595              -6            -211          0.0000;
   407    3.604              -6            -248          0.0000;
   408    3.613              -6            -273          0.0000;
   409    3.621              -6            -284          0.0000;
   410    3.630              -6            -281          0.0000;
   411    3.639              -6            -265          0.0000;
   412    3.648              -6            -236          0.0000;
   413    3.657              -5            -196          0.0000;
   414    3.666              -5            -148          0.0000;
   415    3.674              -5             -92          0.0000;
   416    3.683              -5             -33          0.0000;
   417    3.692              -5              27          0.0000;
   418    3.701              -5              85          0.0000;
   419    3.710              -5             138          0.0000;
   420    3.719              -5             184          0.0000;
   421    3.728              -5             221          0.0000;
   422    3.736              -5             246          0.0000;
   423    3.745              -5             259          0.0000;
   424    3.754              -5             258          0.0000;
   425    3.763              -5             245          0.0000;
   426    3.772              -5             220          0.0000;
   427    3.781              -5             184          0.0000;
   428    3.790              -5             139          0.0000;
   429    3.798              -5              88          0.0000;
   430    3.807              -5              32          0.0000;
   431    3.816              -5             -25          0.0000;
   432    3.825              -5             -80          0.0000;
   433    3.834              -5            -132          0.0000;
   434    3.843              -5            -176          0.0000;
   435    3.852              -5            -212          0.0000;
   436    3.860              -5            -238          0.0000;
   437    3.869              -5            -252          0.0000;
   438    3.878              -5            -253          0.0000;
   439    3.887              -5            -243          0.0000;
   440    3.896              -5            -220          0.0000;
   441    3.905              -5            -188          0.0000;
   442    3.914              -5            -146          0.0000;
   443    3.922              -5             -98          0.0000;
   444    3.931              -5             -46          0.0000;
   445    3.940              -5               7          0.0000;
   446    3.949              -5              60          0.0000;
   447    3.958              -5             109          0.0000;
   448    3.967              -5             152          0.0000;
   449    3.976              -5             188          0.0000;
   450    3.984              -5             213          0.0000;
   451    3.993              -5             228          0.0000;
   452    4.002              -5             231          0.0000;
   453    4.011              -5             222          0.0000;
   454    4.020              -5             203          0.0000;
   455    4.029              -5             173          0.0000;
   456    4.038              -5             135          0.0000;
   457    4.046              -5              91          0.0000;
   458    4.055              -5              42          0.0000;
   459    4.064              -5              -8          0.0000;
   460    4.073              -5             -58          0.0000;
   461    4.082              -5            -105          0.0000;
   462    4.091              -5            -147          0.0000;
   463    4.099              -5            -181          0.0000;
   464    4.108              -5            -207          0.0000;
   465    4.117              -5            -222          0.0000;
   466    4.126              -6            -227          0.0000;
   467    4.135              -6            -220          0.0000;
   468    4.144              -6            -203          0.0000;
   469    4.153              -6            -176          0.0000;
   470    4.161              -5            -141          0.0000;
   471    4.170              -5            -100          0.0000;
   472    4.179              -5             -54          0.0000;
   473    4.188              -5              -7          0.0000;
   474    4.197              -5              40          0.0000;
   475    4.206              -5              85          0.0000;
   476    4.215              -5             125          0.0000;
   477    4.223              -5             158          0.0000;
   478    4.232              -5             183          0.0000;
   479    4.241              -5             199          0.0000;
   480    4.250              -5             204          0.0000;
   481    4.259              -5             199          0.0000;
   482    4.268              -5             184          0.0000;
   483    4.277              -5             160          0.0000;
   484    4.285              -5             128          0.0000;
   485    4.294              -5              90          0.0000;
   486    4.303              -5              48          0.0000;
   487    4.312              -5               3          0.0000;
   488    4.321              -5             -41          0.0000;
   489    4.330              -5             -84          0.0000;
   490    4.339              -5            -122          0.0000;
   491    4.347              -5            -154          0.0000;
   492    4.356              -5            -179          0.0000;
   493    4.365              -5            -195          0.0000;
   494    4.374              -5            -201          0.0000;
   495    4.383              -5            -197          0.0000;
   496    4.392              -5            -184          0.0000;
   497    4.401              -5            -162          0.0000;
   498    4.409              -5            -132          0.0000;
   499    4.418              -5             -97          0.0000;
   500    4.427              -5             -58          0.0000;
   501    4.436              -5             -16          0.0000;
   502    4.445              -5              26          0.0000;
   503    4.454              -5              67          0.0000;
   504    4.463              -5             103          0.0000;
   505    4.471              -5             134          0.0000;
   506    4.480              -5             157          0.0000;
   507    4.489              -5             173          0.0000;
   508    4.498              -5             180          0.0000;
   509    4.507              -5             177          0.0000;
   510    4.516              -5             165          0.0000;
   511    4.524              -5             145          0.0000;
   512    4.533              -5             119          0.0000;
   513    4.542              -5              86          0.0000;
   514    4.551              -5              49          0.0000;
   515    4.560              -5              10          0.0000;
   516    4.569              -5             -29          0.0000;
   517    4.578              -5             -68          0.0000;
   518    4.586              -5            -102          0.0000;
   519    4.595              -5            -132          0.0000;
   520    4.604              -5            -155          0.0000;
   521    4.613              -5            -170          0.0000;
   522    4.622              -5            -177          0.0000;
   523    4.631              -5            -175          0.0000;
   524    4.640              -5            -165          0.0000;
   525    4.648              -5            -147          0.0000;
   526    4.657              -5            -122          0.0000;
   527    4.666              -5             -92          0.0000;
   528    4.675              -5             -57          0.0000;
   529    4.684              -5             -20          0.0000;
   530    4.693              -5              17          0.0000;
   531    4.702              -5              52          0.0000;
   532    4.710              -5              85          0.0000;
   533    4.719              -5             113          0.0000;
   534    4.728              -5             135          0.0000;
   535    4.737              -5             150          0.0000;
   536    4.746              -5             157          0.0000;
   537    4.755              -5             156          0.0000;
   538    4.764              -5             147          0.0000;
   539    4.772              -5             130          0.0000;
   540    4.781              -5             107          0.0000;
   541    4.790              -5              79          0.0000;
   542    4.799              -5              47          0.0000;
   543    4.808              -5              13          0.0000;
   544    4.817              -5             -21          0.0000;
   545    4.826              -5             -55          0.0000;
   546    4.834              -5             -86          0.0000;
   547    4.843              -5            -113          0.0000;
   548    4.852              -5            -133          0.0000;
   549    4.861              -5            -148          0.0000;
   550    4.870              -5            -155          0.0000;
   551    4.879              -5            -154          0.0000;
   552    4.888              -5            -146          0.0000;
   553    4.896              -5            -131          0.0000;
   554    4.905              -5            -110          0.0000;
   555    4.914              -5             -84          0.0000;
   556    4.923              -5             -54          0.0000;
   557    4.932              -5             -22          0.0000;
   558    4.941              -5              10          0.0000;
   559    4.949              -5              42          0.0000;
   560    4.958              -5              71          0.0000;
   561    4.967              -5              95          0.0000;
   562    4.976              -5             115          0.0000;
   563    4.985              -5             129          0.0000;
   564    4.994              -5             135          0.0000;
   565    5.003              -5             135          0.0000;
   566    5.011              -5             128          0.0000;
   567    5.020              -5             114          0.0000;
   568    5.029              -5              95          0.0000;
   569    5.038              -5              71          0.0000;
   570    5.047              -5              43          0.0000;
   571    5.056              -5              14          0.0000;
   572    5.065              -5             -17          0.0000;
   573    5.073              -5             -46          0.0000;
   574    5.082              -5             -73          0.0000;
   575    5.091              -5             -96          0.0000;
   576    5.100              -5            -115          0.0000;
   577    5.109              -5            -128          0.0000;
   578    5.118              -5            -134          0.0000;
   579    5.127              -5            -134          0.0000;
   580    5.135              -5            -128          0.0000;
   581    5.144              -5            -115          0.0000;
   582    5.153              -5             -97          0.0000;
   583    5.162              -5             -75          0.0000;
   584    5.171              -5             -49          0.0000;
   585    5.180              -5             -22          0.0000;
   586    5.189              -5               6          0.0000;
   587    5.197              -5              33          0.0000;
   588    5.206              -5              59          0.0000;
   589    5.215              -5              80          0.0000;
   590    5.224              -5              97          0.0000;
   591    5.233              -5             109          0.0000;
   592    5.242              -5             116          0.0000;
   593    5.251              -5             116          0.0000;
   594    5.259              -5             110          0.0000;
   595    5.268              -5              98          0.0000;
   596    5.277              -5              81          0.0000;
   597    5.286              -5              61          0.0000;
   598    5.295              -5              37          0.0000;
   599    5.304              -5              12          0.0000;
   600    5.313              -5             -14          0.0000;
   601    5.321              -5             -39          0.0000;
   602    5.330              -5             -62          0.0000;
   603    5.339              -5             -82          0.0000;
   604    5.348              -5             -98          0.0000;
   605    5.357              -5            -109          0.0000;
   606    5.366              -5            -116          0.0000;
   607    5.374              -5            -115          0.0000;
   608    5.383              -5            -110          0.0000;
   609    5.392              -5             -99          0.0000;
   610    5.401              -5             -84          0.0000;
   611    5.410              -5             -65          0.0000;
   612    5.419              -5             -43          0.0000;
   613    5.428              -5             -20          0.0000;
   614    5.436              -5               4          0.0000;
   615    5.445              -5              28          0.0000;
   616    5.454              -5              49          0.0000;
   617    5.463              -5              67          0.0000;
   618    5.472              -5              82          0.0000;
   619    5.481              -5              92          0.0000;
   620    5.490              -5              97          0.0000;
   621    5.498              -5              97          0.0000;
   622    5.507              -5              92          0.0000;
   623    5.516              -5              82          0.0000;
   624    5.525              -5              68          0.0000;
   625    5.534              -5              51          0.0000;
   626    5.543              -5              31          0.0000;
   627    5.552              -5               9          0.0000;
   628    5.560              -5             -13          0.0000;
   629    5.569              -5             -34          0.0000;
   630    5.578              -5             -54          0.0000;
   631    5.587              -5             -71          0.0000;
   632    5.596              -5             -84          0.0000;
   633    5.605              -5             -93          0.0000;
   634    5.614              -5             -98          0.0000;
   635    5.622              -5             -97          0.0000;
   636    5.631              -5             -93          0.0000;
   637    5.640              -5             -83          0.0000;
   638    5.649              -5             -70          0.0000;
   639    5.658              -5             -54          0.0000;
   640    5.667              -5             -36          0.0000;
   641    5.676              -5             -16          0.0000;
   642    5.684              -5               4          0.0000;
   643    5.693              -5              24          0.0000;
   644    5.702              -5              41          0.0000;
   645    5.711              -5              56          0.0000;
   646    5.720              -5              68          0.0000;
   647    5.729              -5              76          0.0000;
   648    5.738              -5              80          0.0000;
   649    5.746              -5              80          0.0000;
   650    5.755              -5              76          0.0000;
   651    5.764              -5              67          0.0000;
   652    5.773              -5              55          0.0000;
   653    5.782              -5              40          0.0000;
   654    5.791              -5              23          0.0000;
   655    5.799              -5               5          0.0000;
   656    5.808              -5             -13          0.0000;
   657    5.817              -5             -31          0.0000;
   658    5.826              -5             -47          0.0000;
   659    5.835              -5             -60          0.0000;
   660    5.844              -5             -71          0.0000;
   661    5.853              -5             -78          0.0000;
   662    5.861              -5             -82          0.0000;
   663    5.870              -5             -81          0.0000;
   664    5.879              -5             -76          0.0000;
   665    5.888              -5             -68          0.0000;
   666    5.897              -5             -57          0.0000;
   667    5.906              -5             -43          0.0000;
   668    5.915              -5             -28          0.0000;
   669    5.923              -5             -12          0.0000;
   670    5.932              -5               5          0.0000;
   671    5.941              -5              21          0.0000;
   672    5.950              -5              35          0.0000;
   673    5.959              -5              47          0.0000;
   674    5.968              -5              56          0.0000;
   675    5.977              -5              62          0.0000;
   676    5.985              -5              65          0.0000]
