 Sample   Time     Encoder 1 Pos   Encoder 2 Pos   Control Effort
   400    3.542              -1             -78          0.0000;
   401    3.551              -1             -18          0.0000;
   402    3.559              -1              43          0.0000;
   403    3.568              -1             101          0.0000;
   404    3.577              -1             154          0.0000;
   405    3.586              -1             199          0.0000;
   406    3.595              -0             234          0.0000;
   407    3.604              -0             258          0.0000;
   408    3.613              -0             269          0.0000;
   409    3.621              -0             267          0.0000;
   410    3.630               0             252          0.0000;
   411    3.639               0             225          0.0000;
   412    3.648               0             187          0.0000;
   413    3.657               0             141          0.0000;
   414    3.666              -1              88          0.0000;
   415    3.674              -1              32          0.0000;
   416    3.683              -1             -25          0.0000;
   417    3.692              -1             -80          0.0000;
   418    3.701              -1            -131          0.0000;
   419    3.710              -1            -175          0.0000;
   420    3.719              -1            -210          0.0000;
   421    3.728              -1            -234          0.0000;
   422    3.736              -1            -247          0.0000;
   423    3.745              -1            -246          0.0000;
   424    3.754              -1            -234          0.0000;
   425    3.763              -1            -210          0.0000;
   426    3.772              -1            -177          0.0000;
   427    3.781              -1            -134          0.0000;
   428    3.790              -1             -86          0.0000;
   429    3.798              -1             -33          0.0000;
   430    3.807              -1              21          0.0000;
   431    3.816              -1              74          0.0000;
   432    3.825              -1             122          0.0000;
   433    3.834              -1             165          0.0000;
   434    3.843               0             199          0.0000;
   435    3.852               0             224          0.0000;
   436    3.860               0             237          0.0000;
   437    3.869               0             239          0.0000;
   438    3.878               0             229          0.0000;
   439    3.887               0             208          0.0000;
   440    3.896               0             178          0.0000;
   441    3.905               0             138          0.0000;
   442    3.914              -1              93          0.0000;
   443    3.922              -1              44          0.0000;
   444    3.931              -1              -7          0.0000;
   445    3.940              -1             -57          0.0000;
   446    3.949              -1            -103          0.0000;
   447    3.958              -1            -144          0.0000;
   448    3.967              -1            -178          0.0000;
   449    3.976              -1            -202          0.0000;
   450    3.984              -1            -216          0.0000;
   451    3.993              -1            -220          0.0000;
   452    4.002              -1            -211          0.0000;
   453    4.011              -1            -193          0.0000;
   454    4.020              -1            -165          0.0000;
   455    4.029              -1            -130          0.0000;
   456    4.038              -1             -88          0.0000;
   457    4.046              -1             -42          0.0000;
   458    4.055              -1               6          0.0000;
   459    4.064              -1              53          0.0000;
   460    4.073              -1              98          0.0000;
   461    4.082              -1             137          0.0000;
   462    4.091              -1             170          0.0000;
   463    4.099              -1             194          0.0000;
   464    4.108               0             208          0.0000;
   465    4.117               0             213          0.0000;
   466    4.126               0             206          0.0000;
   467    4.135               0             190          0.0000;
   468    4.144              -1             165          0.0000;
   469    4.153              -1             132          0.0000;
   470    4.161              -1              93          0.0000;
   471    4.170              -1              50          0.0000;
   472    4.179              -1               5          0.0000;
   473    4.188              -1             -39          0.0000;
   474    4.197              -1             -81          0.0000;
   475    4.206              -1            -119          0.0000;
   476    4.215              -1            -150          0.0000;
   477    4.223              -1            -174          0.0000;
   478    4.232              -1            -188          0.0000;
   479    4.241              -1            -194          0.0000;
   480    4.250              -1            -188          0.0000;
   481    4.259              -1            -174          0.0000;
   482    4.268              -1            -151          0.0000;
   483    4.277              -1            -121          0.0000;
   484    4.285              -1             -86          0.0000;
   485    4.294              -1             -46          0.0000;
   486    4.303              -1              -4          0.0000;
   487    4.312              -1              38          0.0000;
   488    4.321              -1              78          0.0000;
   489    4.330              -1             114          0.0000;
   490    4.339              -1             145          0.0000;
   491    4.347              -1             167          0.0000;
   492    4.356              -1             182          0.0000;
   493    4.365              -1             187          0.0000;
   494    4.374              -1             184          0.0000;
   495    4.383              -1             171          0.0000;
   496    4.392              -1             150          0.0000;
   497    4.401              -1             123          0.0000;
   498    4.409              -1              89          0.0000;
   499    4.418              -1              52          0.0000;
   500    4.427              -1              13          0.0000;
   501    4.436              -1             -27          0.0000;
   502    4.445              -1             -64          0.0000;
   503    4.454              -1             -98          0.0000;
   504    4.463              -1            -127          0.0000;
   505    4.471              -1            -149          0.0000;
   506    4.480              -1            -163          0.0000;
   507    4.489              -1            -169          0.0000;
   508    4.498              -1            -166          0.0000;
   509    4.507              -1            -155          0.0000;
   510    4.516              -1            -136          0.0000;
   511    4.524              -1            -111          0.0000;
   512    4.533              -1             -80          0.0000;
   513    4.542              -1             -46          0.0000;
   514    4.551              -1              -9          0.0000;
   515    4.560              -1              28          0.0000;
   516    4.569              -1              64          0.0000;
   517    4.578              -1              96          0.0000;
   518    4.586              -1             123          0.0000;
   519    4.595              -1             144          0.0000;
   520    4.604              -1             158          0.0000;
   521    4.613              -1             165          0.0000;
   522    4.622              -1             162          0.0000;
   523    4.631              -1             152          0.0000;
   524    4.640              -1             135          0.0000;
   525    4.648              -1             111          0.0000;
   526    4.657              -1              83          0.0000;
   527    4.666              -1              50          0.0000;
   528    4.675              -1              16          0.0000;
   529    4.684              -1             -18          0.0000;
   530    4.693              -1             -51          0.0000;
   531    4.702              -1             -82          0.0000;
   532    4.710              -1            -107          0.0000;
   533    4.719              -1            -127          0.0000;
   534    4.728              -1            -140          0.0000;
   535    4.737              -1            -147          0.0000;
   536    4.746              -1            -145          0.0000;
   537    4.755              -1            -136          0.0000;
   538    4.764              -1            -120          0.0000;
   539    4.772              -1             -98          0.0000;
   540    4.781              -1             -72          0.0000;
   541    4.790              -1             -42          0.0000;
